,M_value,Rule_num
0,0.0,1
1,43.63182943989191,2
2,85.8661826690246,3
3,110.7544949109421,4
4,133.33686573001285,5
5,133.33686573001285,6
6,143.15468605884533,7
7,167.6164413057921,8
8,167.6164413057921,9
9,171.43937878207882,10
10,209.81331368495916,11
11,238.8539461985158,12
12,242.99169034865668,13
13,242.99169034865668,14
14,242.99169034865668,15
15,256.530290224262,16
16,285.1641167422591,17
17,285.1641167422591,18
18,285.1641167422591,21
19,285.1641167422591,23
20,285.1641167422591,26
21,285.1641167422591,28
22,285.1641167422591,29
23,286.6895311388221,30
24,286.6895311388221,34
25,286.6895311388221,40
26,286.6895311388221,49
27,286.6895311388221,64
28,286.6895311388221,81
